 Time   1.4959978978313126E-007
              n           NBPV              u           Z(u)
    0.28861E+02    0.00000E+00    0.15500E+05    0.00000E+00
    0.57402E+02    0.10899E+09    0.30828E+05    0.37785E+03
    0.86410E+02    0.27489E+14    0.46408E+05    0.95302E+08
    0.11472E+03    0.11304E+16    0.61614E+05    0.39189E+10
    0.14525E+03    0.56118E+16    0.78011E+05    0.19456E+11
    0.17666E+03    0.12114E+17    0.94879E+05    0.42000E+11
    0.20878E+03    0.18128E+17    0.11213E+06    0.62849E+11
    0.24077E+03    0.22514E+17    0.12931E+06    0.78055E+11
    0.27268E+03    0.25318E+17    0.14645E+06    0.87776E+11
    0.30461E+03    0.26880E+17    0.16360E+06    0.93193E+11
    0.33656E+03    0.27531E+17    0.18076E+06    0.95450E+11
    0.36853E+03    0.27527E+17    0.19792E+06    0.95433E+11
    0.40101E+03    0.27029E+17    0.21537E+06    0.93706E+11
    0.43353E+03    0.26188E+17    0.23284E+06    0.90793E+11
    0.46551E+03    0.25133E+17    0.25001E+06    0.87133E+11
    0.49749E+03    0.23915E+17    0.26719E+06    0.82912E+11
    0.52948E+03    0.22595E+17    0.28437E+06    0.78335E+11
    0.56147E+03    0.21218E+17    0.30154E+06    0.73560E+11
    0.59345E+03    0.19820E+17    0.31872E+06    0.68714E+11
    0.62544E+03    0.18429E+17    0.33590E+06    0.63893E+11
    0.65743E+03    0.17067E+17    0.35308E+06    0.59170E+11
    0.68942E+03    0.15749E+17    0.37027E+06    0.54599E+11
    0.72142E+03    0.14485E+17    0.38745E+06    0.50220E+11
    0.75341E+03    0.13285E+17    0.40463E+06    0.46057E+11
    0.78540E+03    0.12152E+17    0.42181E+06    0.42129E+11
    0.81951E+03    0.11059E+17    0.44013E+06    0.38341E+11
    0.85150E+03    0.10070E+17    0.45731E+06    0.34912E+11
    0.88350E+03    0.91508E+16    0.47450E+06    0.31725E+11
    0.91549E+03    0.82999E+16    0.49168E+06    0.28775E+11
    0.94749E+03    0.75150E+16    0.50886E+06    0.26054E+11
    0.97949E+03    0.67932E+16    0.52605E+06    0.23552E+11
    0.10115E+04    0.61313E+16    0.54323E+06    0.21257E+11
    0.10435E+04    0.55260E+16    0.56042E+06    0.19158E+11
    0.10755E+04    0.49737E+16    0.57760E+06    0.17243E+11
    0.11075E+04    0.44708E+16    0.59479E+06    0.15500E+11
    0.11395E+04    0.40141E+16    0.61197E+06    0.13916E+11
    0.11715E+04    0.35999E+16    0.62915E+06    0.12480E+11
    0.12035E+04    0.32249E+16    0.64634E+06    0.11181E+11
    0.12355E+04    0.28861E+16    0.66352E+06    0.10006E+11
    0.12675E+04    0.25804E+16    0.68071E+06    0.89460E+10
    0.12995E+04    0.23049E+16    0.69789E+06    0.79910E+10
    0.13315E+04    0.20571E+16    0.71508E+06    0.71317E+10
    0.13635E+04    0.18343E+16    0.73226E+06    0.63594E+10
    0.13954E+04    0.16344E+16    0.74945E+06    0.56662E+10
    0.14274E+04    0.14551E+16    0.76663E+06    0.50447E+10
    0.14594E+04    0.12945E+16    0.78382E+06    0.44881E+10
    0.14914E+04    0.11509E+16    0.80100E+06    0.39901E+10
    0.15234E+04    0.10225E+16    0.81819E+06    0.35449E+10
    0.15554E+04    0.90781E+15    0.83537E+06    0.31473E+10
    0.15874E+04    0.80549E+15    0.85256E+06    0.27926E+10
    0.16236E+04    0.71231E+15    0.87200E+06    0.24695E+10
    0.16556E+04    0.63131E+15    0.88919E+06    0.21887E+10
    0.16876E+04    0.55920E+15    0.90638E+06    0.19387E+10
    0.17196E+04    0.49506E+15    0.92356E+06    0.17163E+10
    0.17516E+04    0.43805E+15    0.94075E+06    0.15187E+10
    0.17836E+04    0.38741E+15    0.95793E+06    0.13431E+10
    0.18156E+04    0.34245E+15    0.97512E+06    0.11873E+10
    0.18476E+04    0.30257E+15    0.99230E+06    0.10490E+10
    0.18796E+04    0.26721E+15    0.10095E+07    0.92639E+09
    0.19116E+04    0.23587E+15    0.10267E+07    0.81775E+09
    0.19436E+04    0.20812E+15    0.10439E+07    0.72153E+09
    0.19756E+04    0.18355E+15    0.10610E+07    0.63636E+09
    0.20076E+04    0.16182E+15    0.10782E+07    0.56101E+09
    0.20396E+04    0.14260E+15    0.10954E+07    0.49438E+09
    0.20716E+04    0.12562E+15    0.11126E+07    0.43550E+09
    0.21036E+04    0.11061E+15    0.11298E+07    0.38348E+09
    0.21356E+04    0.97364E+14    0.11470E+07    0.33756E+09
    0.21676E+04    0.85673E+14    0.11642E+07    0.29702E+09
    0.21996E+04    0.75358E+14    0.11813E+07    0.26126E+09
    0.22316E+04    0.66263E+14    0.11985E+07    0.22973E+09
    0.22636E+04    0.58246E+14    0.12157E+07    0.20194E+09
    0.22956E+04    0.51183E+14    0.12329E+07    0.17745E+09
    0.23276E+04    0.44961E+14    0.12501E+07    0.15588E+09
    0.23596E+04    0.39484E+14    0.12673E+07    0.13689E+09
    0.23916E+04    0.34664E+14    0.12845E+07    0.12018E+09
    0.24236E+04    0.30423E+14    0.13016E+07    0.10547E+09
    0.24556E+04    0.26693E+14    0.13188E+07    0.92542E+08
    0.24876E+04    0.23414E+14    0.13360E+07    0.81173E+08
    0.25196E+04    0.20532E+14    0.13532E+07    0.71182E+08
    0.25516E+04    0.18000E+14    0.13704E+07    0.62403E+08
    0.25836E+04    0.15776E+14    0.13876E+07    0.54693E+08
    0.26156E+04    0.13823E+14    0.14048E+07    0.47923E+08
    0.26476E+04    0.12109E+14    0.14219E+07    0.41980E+08
    0.26796E+04    0.10605E+14    0.14391E+07    0.36765E+08
    0.27116E+04    0.92849E+13    0.14563E+07    0.32190E+08
    0.27436E+04    0.81276E+13    0.14735E+07    0.28178E+08
    0.27756E+04    0.71129E+13    0.14907E+07    0.24660E+08
    0.28076E+04    0.62235E+13    0.15079E+07    0.21576E+08
    0.28396E+04    0.54440E+13    0.15251E+07    0.18874E+08
    0.28716E+04    0.47612E+13    0.15422E+07    0.16507E+08
    0.29036E+04    0.41630E+13    0.15594E+07    0.14433E+08
    0.29356E+04    0.36393E+13    0.15766E+07    0.12617E+08
    0.29676E+04    0.31808E+13    0.15938E+07    0.11028E+08
    0.29996E+04    0.27795E+13    0.16110E+07    0.96362E+07
    0.30316E+04    0.24283E+13    0.16282E+07    0.84187E+07
    0.30636E+04    0.21211E+13    0.16454E+07    0.73536E+07
    0.30956E+04    0.18524E+13    0.16625E+07    0.64221E+07
    0.31276E+04    0.16174E+13    0.16797E+07    0.56074E+07
    0.31596E+04    0.14120E+13    0.16969E+07    0.48952E+07
    0.31916E+04    0.12324E+13    0.17141E+07    0.42727E+07
    0.32320E+04    0.10668E+13    0.17358E+07    0.36986E+07
    0.32640E+04    0.93114E+12    0.17530E+07    0.32282E+07
    0.32960E+04    0.81256E+12    0.17702E+07    0.28171E+07
    0.33280E+04    0.70890E+12    0.17874E+07    0.24577E+07
    0.33600E+04    0.61817E+12    0.18045E+07    0.21432E+07
    0.33920E+04    0.53877E+12    0.18217E+07    0.18679E+07
    0.34240E+04    0.46940E+12    0.18389E+07    0.16274E+07
    0.34560E+04    0.40888E+12    0.18561E+07    0.14176E+07
    0.34880E+04    0.35612E+12    0.18733E+07    0.12347E+07
    0.35200E+04    0.31013E+12    0.18905E+07    0.10752E+07
    0.35520E+04    0.27005E+12    0.19077E+07    0.93624E+06
    0.35840E+04    0.23511E+12    0.19248E+07    0.81511E+06
    0.36160E+04    0.20466E+12    0.19420E+07    0.70954E+06
    0.36480E+04    0.17813E+12    0.19592E+07    0.61755E+06
    0.36800E+04    0.15501E+12    0.19764E+07    0.53740E+06
    0.37120E+04    0.13487E+12    0.19936E+07    0.46758E+06
    0.37440E+04    0.11733E+12    0.20108E+07    0.40677E+06
    0.37760E+04    0.10205E+12    0.20280E+07    0.35382E+06
    0.38080E+04    0.88757E+11    0.20451E+07    0.30771E+06
    0.38400E+04    0.77180E+11    0.20623E+07    0.26758E+06
    0.38720E+04    0.67105E+11    0.20795E+07    0.23265E+06
    0.39040E+04    0.58337E+11    0.20967E+07    0.20225E+06
    0.39360E+04    0.50707E+11    0.21139E+07    0.17580E+06
    0.39680E+04    0.44070E+11    0.21311E+07    0.15279E+06
    0.40000E+04    0.38296E+11    0.21483E+07    0.13277E+06
    0.40320E+04    0.33275E+11    0.21654E+07    0.11536E+06
    0.40640E+04    0.28908E+11    0.21826E+07    0.10022E+06
    0.40960E+04    0.25111E+11    0.21998E+07    0.87060E+05
    0.41280E+04    0.21811E+11    0.22170E+07    0.75616E+05
    0.41600E+04    0.18941E+11    0.22342E+07    0.65669E+05
    0.41920E+04    0.16448E+11    0.22514E+07    0.57023E+05
    0.42240E+04    0.14281E+11    0.22686E+07    0.49510E+05
    0.42560E+04    0.12398E+11    0.22858E+07    0.42981E+05
    0.42880E+04    0.10762E+11    0.23029E+07    0.37310E+05
    0.43200E+04    0.93404E+10    0.23201E+07    0.32383E+05
    0.43520E+04    0.81060E+10    0.23373E+07    0.28103E+05
    0.43840E+04    0.70340E+10    0.23545E+07    0.24386E+05
    0.44160E+04    0.61031E+10    0.23717E+07    0.21159E+05
    0.44480E+04    0.52948E+10    0.23889E+07    0.18357E+05
    0.44800E+04    0.45931E+10    0.24061E+07    0.15924E+05
    0.45120E+04    0.39839E+10    0.24232E+07    0.13812E+05
    0.45440E+04    0.34552E+10    0.24404E+07    0.11979E+05
    0.45760E+04    0.29964E+10    0.24576E+07    0.10388E+05
    0.46080E+04    0.25982E+10    0.24748E+07    0.90077E+04
    0.46400E+04    0.22527E+10    0.24920E+07    0.78099E+04
    0.46720E+04    0.19529E+10    0.25092E+07    0.67707E+04
    0.47040E+04    0.16929E+10    0.25264E+07    0.58692E+04
    0.47360E+04    0.14674E+10    0.25435E+07    0.50872E+04
    0.47680E+04    0.12717E+10    0.25607E+07    0.44090E+04
    0.48000E+04    0.11021E+10    0.25779E+07    0.38209E+04
    0.48320E+04    0.95499E+09    0.25951E+07    0.33109E+04
    0.48640E+04    0.82744E+09    0.26123E+07    0.28687E+04
    0.48960E+04    0.71687E+09    0.26295E+07    0.24853E+04
    0.49280E+04    0.62101E+09    0.26467E+07    0.21530E+04
    0.49600E+04    0.53792E+09    0.26638E+07    0.18649E+04
    0.49920E+04    0.46591E+09    0.26810E+07    0.16153E+04
    0.50240E+04    0.40351E+09    0.26982E+07    0.13989E+04
    0.50560E+04    0.34943E+09    0.27154E+07    0.12114E+04
    0.50880E+04    0.30257E+09    0.27326E+07    0.10490E+04
