============================== SRIM-2003.24 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1000000.E-07 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E-02 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000004   2.8405E+01  3.2913E+00  1.6630E+01
0000005   1.1511E+01 -9.8287E+00 -9.4096E+00
0000006   2.7345E+01 -1.4478E+01  9.3474E-01
0000007   4.6228E+00  1.7269E+01 -2.8391E+00
0000009   1.6612E+01 -1.0165E+01  1.0317E+01
0000012   1.2535E+01 -5.7256E+00 -8.6968E-01
0000014   9.6705E+00  1.2848E+01 -1.7084E+01
0000017   4.8848E+00  3.1506E+00 -8.5483E-01
0000018   2.0741E+01 -5.2573E+00 -1.2875E+01
0000019   2.7151E+01 -2.0251E+00 -8.4062E+00
0000021   1.4294E+01  1.6992E+00  1.5611E+01
0000022   1.5526E+01  2.0736E+00 -6.8189E+00
0000024   1.9166E+01 -2.8879E+00 -1.1942E+01
0000025   9.1704E+00  1.8979E+01  2.7362E+00
0000026   3.0174E+01 -2.9028E+00  1.8184E+01
0000027   1.3089E+01  1.2339E+01 -1.5838E+01
0000028   2.1103E+01 -1.9766E+01  3.4045E+00
0000030   2.8727E+01 -2.2043E+01  5.4620E+00
0000033   1.6876E+01  1.0600E+01 -2.7803E+00
0000036   1.8560E+01 -3.5232E+00  1.6355E+01
0000038   1.2573E+01  4.5132E+00 -3.1074E+00
0000039   1.3228E+01 -4.1527E+00  1.1767E+01
0000040   7.3162E+00 -1.6822E+01 -1.3007E+01
0000041   8.4394E+00  3.5645E+00 -3.4973E+00
0000042   2.8531E+01 -6.5659E+00 -3.3211E+00
0000047   8.9705E+00 -1.1172E+01  2.2612E+01
0000049   4.5079E+00 -5.2292E+00  8.5701E+00
0000054   1.2411E+01  2.1476E+00 -1.3524E+01
0000055   2.1589E+01  8.8840E+00  3.8513E+00
0000059   7.8759E+00  1.8459E+01 -3.3715E+00
0000060   2.1860E+01  1.2571E+01 -1.5762E+01
0000062   2.3755E+00  4.4153E+00  9.5397E+00
0000065   2.0149E+01  1.6390E+01 -6.8438E+00
0000067   3.6488E+01 -1.6964E+01 -2.5887E+01
0000069   1.2704E+01 -1.4959E+01  1.6066E+01
0000070   9.4392E+00  7.4135E-01  9.0559E+00
0000072   2.0182E+01  6.4975E+00 -3.8151E+00
0000074   1.6952E+01 -9.4720E-01  1.2404E+01
0000078   1.8065E+00 -2.7270E+00 -1.6412E+01
0000079   4.5563E+01  1.2399E+01 -3.2302E+00
0000080   2.6460E+01 -9.9333E+00 -2.0578E+01
0000081   2.4098E+01 -1.0364E+01  7.5077E+00
0000083   2.7773E+00  3.0723E+01 -6.9494E+00
0000085   2.9062E+01 -9.5136E+00  3.9224E-01
0000086   1.3896E+01 -1.6546E+01 -7.1820E+00
0000088   1.9887E+01 -5.4063E-01 -7.4227E+00
0000089   1.4859E+01  1.4368E+01 -1.5110E+00
0000092   1.5697E+01  3.6587E+00  9.4089E+00
0000093   3.7407E+00 -1.8571E+01  1.3082E+01
0000094   1.8459E+01 -1.7475E+01  2.2745E+01
0000097   1.7960E+01  1.9311E+01 -1.7848E+01
0000099   1.1286E+01 -2.5236E+00  3.8729E+00
0000100   7.7986E+00  1.4041E+01 -1.3221E+00
0000101   3.2122E+01  1.4968E+00 -8.6882E+00
0000104   1.7136E+01 -9.9963E+00  1.5463E+00
0000105   1.5728E+01 -4.5160E+00  4.8670E+00
0000106   2.6873E+01 -7.4303E+00  2.6676E+00
0000107   1.7178E+01 -1.1278E+01 -1.0824E+01
0000108   6.9132E+00  3.3136E+00  9.3250E+00
0000113   9.9929E+00  2.0781E+01 -1.5413E+01
0000114   1.4264E+01 -2.9427E+00  4.7307E+00
0000116   3.8918E+01 -5.0023E+00 -1.2056E+01
0000117   1.2210E+01  1.4617E+01 -1.5873E+01
0000119   5.7174E+00 -7.0132E+00 -8.6078E+00
0000120   1.9595E+01 -1.4045E+01 -1.6580E+01
0000121   1.0616E+01 -8.8234E+00 -2.4127E+00
0000125   6.1694E+00  1.7176E+01 -1.1934E+01
0000126   5.0660E+00  7.8354E+00 -3.0221E+00
0000128   1.9530E+01 -1.6747E+01  4.2056E+00
0000129   1.4697E+00 -2.0929E+01  1.5166E-01
0000131   2.4360E+01  8.8328E-01  2.4026E+00
0000132   1.7018E+01 -3.7404E+00  3.4443E+00
0000134   1.2091E+01  4.6312E+00  1.9685E+01
0000136   3.6508E+01 -1.1725E+01  2.4431E+00
0000138   2.0449E+01  9.4951E-01  6.2636E+00
0000139   9.1995E+00 -9.6317E+00 -4.7667E+00
0000141   2.6843E+01  3.9959E+00 -2.2308E+01
0000143   1.8773E+01  1.1183E+01 -5.7500E+00
0000145   6.2229E+00  2.6637E+01 -1.2701E+01
0000146   9.0100E+00 -1.1139E+01 -3.1792E+01
0000147   2.5300E+01 -1.3664E+01  4.0727E+00
0000150   3.6695E+00  2.3562E+00 -1.3973E+01
0000151   9.1162E+00  1.5929E+01  9.9348E-01
0000152   2.1405E+01  1.7994E+01 -1.3442E+01
0000153   5.8565E+00 -1.1625E+01  7.7356E+00
0000157   2.6388E+01  4.6067E+00 -2.3110E+00
0000158   2.1355E+01 -8.7943E+00  2.1031E+01
0000159   1.1689E+01 -4.9731E-01 -1.8372E+01
0000160   1.9214E+01 -1.4799E+01  1.0418E+01
0000161   3.5335E+00  9.5563E+00 -2.5107E+01
0000162   2.5806E+01  4.4183E+00  6.0849E-02
0000163   3.1542E+01 -1.1506E+01  1.1255E+00
0000164   8.8327E+00  1.0378E+01  2.7703E+00
0000165   1.1752E+01  4.7395E+00  2.6376E+00
0000167   2.7294E+00 -3.5038E-01  2.8807E+01
0000170   3.1388E+00  1.1073E+01 -6.7371E+00
0000172   2.3599E+01 -7.8644E+00 -9.1841E+00
0000175   4.5893E+00  2.0394E+00 -8.2988E+00
0000178   1.5158E+01  5.9417E+00  1.1394E+01
0000179   1.3890E+01 -1.2001E+01  8.0919E+00
0000181   1.1583E+01 -7.1047E+00 -4.3323E+00
0000182   8.6742E+00  2.4695E+01 -2.3853E+01
0000184   2.5012E+01  1.0391E+01  1.2442E+01
0000186   1.7053E+01  2.2021E+00 -3.8643E+00
0000190   2.9912E+01  8.6723E-01  9.0397E+00
0000193   2.1423E+01 -2.0252E+01  5.1528E+00
